Dmax_est,Dmax_true,Rg_guinier,Rg_true,dmax_over_rg,in_window,method,nchannel_max,noise,params,rel_err,rg_gui_err,seed,shape,time_ms,x_converged,x_nmax,x_nsol,x_rg_nn,x_sigma
7.219052459634952,6.0,2.4063508198783174,2.3237900077754694,2.581988897414923,False,three_rg,7,0.2,,0.20317540993915864,0.03552851670185221,2,sphere,0.0011779993656091392,,,,,
9.338576524681617,8.0,3.1004570135065204,3.098386677028987,2.5819888974190666,True,shannon,10,0.0,,0.16732206558520213,0.000668198224864048,0,sphere,17.71797999390401,True,11,2,,0.03410502714857078
7.834270712867798,8.0,3.1004570135065204,3.098386677028987,2.5819888974190666,True,shannon_ex,10,0.0,,-0.02071616089152528,0.000668198224864048,0,sphere,18.77882600092562,True,9,2,,0.07281208691018382
8.54498940638221,8.0,3.1004570135065204,3.098386677028987,2.5819888974190666,True,dnn,10,0.0,,0.06812367579777634,0.000668198224864048,0,sphere,0.24212899734266102,,,,3.1323087137416294,
9.30137104051956,8.0,3.1004570135065204,3.098386677028987,2.5819888974190666,True,three_rg,10,0.0,,0.16267138006494508,0.000668198224864048,0,sphere,0.001257998519577086,,,,,
10.997921123471631,8.0,3.1697342079368727,3.098386677028987,2.5819888974190666,True,shannon,10,0.02,,0.37474014043395387,0.023027316582803,0,sphere,19.089077999524307,True,13,3,,0.001056578069312586
9.19601165742209,8.0,3.1697342079368727,3.098386677028987,2.5819888974190666,True,shannon_ex,10,0.02,,0.1495014571777613,0.023027316582803,0,sphere,17.02548399771331,True,11,2,,0.037180640124349296
8.53926118950036,8.0,3.1697342079368727,3.098386677028987,2.5819888974190666,True,dnn,10,0.02,,0.06740764868754501,0.023027316582803,0,sphere,0.29098300001351163,,,,3.1327190803158866,
9.509202623810618,8.0,3.1697342079368727,3.098386677028987,2.5819888974190666,True,three_rg,10,0.02,,0.1886503279763272,0.023027316582803,0,sphere,0.002101005520671606,,,,,
11.034381800162844,8.0,3.2089128926413957,3.098386677028987,2.5819888974190666,False,shannon,10,0.02,,0.3792977250203555,0.03567218269812308,1,sphere,18.79180900141364,True,14,3,,0.0427855052352184
7.815680392805623,8.0,3.2089128926413957,3.098386677028987,2.5819888974190666,False,shannon_ex,10,0.02,,-0.023039950899297112,0.03567218269812308,1,sphere,18.508989000110887,True,9,2,,0.05422176684800917
8.54465377131309,8.0,3.2089128926413957,3.098386677028987,2.5819888974190666,False,dnn,10,0.02,,0.06808172141413626,0.03567218269812308,1,sphere,0.31997699989005923,,,,3.1322814188874384,
9.626738677924187,8.0,3.2089128926413957,3.098386677028987,2.5819888974190666,False,three_rg,10,0.02,,0.20334233474052343,0.03567218269812308,1,sphere,0.001963999238796532,,,,,
10.991528388090035,8.0,3.156670990261379,3.098386677028987,2.5819888974190666,True,shannon,10,0.02,,0.3739410485112544,0.018811181207466426,2,sphere,18.73526299459627,True,13,3,,0.023148920595249756
7.817229586144137,8.0,3.156670990261379,3.098386677028987,2.5819888974190666,True,shannon_ex,10,0.02,,-0.022846301731982877,0.018811181207466426,2,sphere,17.038311998476274,True,9,1,,0.07126289357166948
8.544574286138063,8.0,3.156670990261379,3.098386677028987,2.5819888974190666,True,dnn,10,0.02,,0.06807178576725792,0.018811181207466426,2,sphere,0.22562700178241357,,,,3.132377369012461,
9.470012970784138,8.0,3.156670990261379,3.098386677028987,2.5819888974190666,True,three_rg,10,0.02,,0.18375162134801726,0.018811181207466426,2,sphere,0.0014680044841952622,,,,,
10.235563891119924,8.0,3.176773398857868,3.098386677028987,2.5819888974190666,True,shannon,10,0.05,,0.27944548638999045,0.025299205683405854,0,sphere,18.170365001424216,False,13,0,,0.5781727585920997
7.80793442611305,8.0,3.176773398857868,3.098386677028987,2.5819888974190666,True,shannon_ex,10,0.05,,-0.024008196735868736,0.025299205683405854,0,sphere,18.23748799506575,True,9,1,,0.06196773354058216
8.53074463175549,8.0,3.176773398857868,3.098386677028987,2.5819888974190666,True,dnn,10,0.05,,0.06634307896943614,0.025299205683405854,0,sphere,0.22362300660461187,,,,3.133333929367395,
9.530320196573603,8.0,3.176773398857868,3.098386677028987,2.5819888974190666,True,three_rg,10,0.05,,0.1912900245717004,0.025299205683405854,0,sphere,0.0017250058590434492,,,,,
11.07341825503723,8.0,3.1783634486329064,3.098386677028987,2.5819888974190666,True,shannon,10,0.05,,0.38417728187965383,0.025812392041592497,1,sphere,17.733972003043164,True,14,3,,0.02118908965755395
7.817229586144137,8.0,3.1783634486329064,3.098386677028987,2.5819888974190666,True,shannon_ex,10,0.05,,-0.022846301731982877,0.025812392041592497,1,sphere,18.03056299831951,True,9,1,,0.07126289357166948
8.544148675358457,8.0,3.1783634486329064,3.098386677028987,2.5819888974190666,True,dnn,10,0.05,,0.06801858441980713,0.025812392041592497,1,sphere,0.3115740037173964,,,,3.132240325802261,
