Dmax_bift,Dmax_bift_err,I0_gui,Rg_bift,Rg_dnn,Rg_gui,chi2,dmax_over_rg,dnn,file,knee,logP,qmin_Rg,shannon,three_rg
6.91,0.15,0.0038887605051630973,2.14,16.950829600358286,1.8177077992905792,0.98,3.2289719626168223,54.58153342095192,sample_1030000-integrate_subtracted.dat,2.5073461383414246,-461.7,0.18222628869642002,5.778493093944828,5.453123397871738
32.49,0.76,0.023655064762086498,12.73,12.754784468901661,12.732088329841387,0.9,2.5522388059701493,44.182826664888125,sample_1040000-integrate_subtracted.dat,17.562642642183206,-443.14,1.0839909603296387,44.173980460384286,38.19626498952416
12.01,0.16,0.0031515175146717145,4.86,13.938534582766577,2.9356353111578324,0.8,2.4711934156378597,50.00430832889048,sample_1050000-integrate_subtracted.dat,4.049415348211114,-382.13,0.41384101077785107,8.836262286585066,8.806905933473498
29.55,0.69,0.00674406661475343,12.77,14.122688889415775,10.507450322157963,0.88,2.314017227877839,44.45439740083507,sample_1060000-integrate_subtracted.dat,14.493976974384694,-427.15,1.0873970591837772,27.750176300819287,31.522350966473887
34.74,1.04,0.007496488833874896,14.31,12.693196780053738,10.01476028904745,0.86,2.4276729559748427,41.06803678551315,sample_1070000-integrate_subtracted.dat,21.75761753977139,-411.35,1.218531865068117,33.01365729284511,30.044280867142348
35.56,0.52,0.005482204510286801,14.14,16.287374959851263,10.461676127355048,1.13,2.514851485148515,56.47445730347043,sample_1080000-integrate_subtracted.dat,14.430836050073552,-525.52,1.2040559449380275,31.573338552357185,31.385028382065144
15.15,0.0,0.218490926254163,5.32,7.4854354788203326,5.03875312643611,2.5,2.8477443609022557,32.16565695462228,sample_1090000-integrate_subtracted.dat,10.889047831416022,-1216.86,0.45301114760044603,16.335637635905606,15.116259379308332
28.94,0.52,20.0890342843872,11.3,14.910770455860176,5.9647841190597015,0.82,2.561061946902655,54.144165699724056,sample_10min0000-integrate_subtracted.dat,8.227823213830952,-391.9,0.9623392323712288,17.775056674798048,17.894352357179105
15.35,0.01,445.40641187737805,4.92,5.452866146671918,5.188047616176127,1.45,3.119918699186992,19.031230118949416,sample_110000-integrate_subtracted.dat,18.040073722753238,-874.89,0.41900079851915445,18.13222641853574,15.56414284852838
39.12,0.71,0.010899685030220655,16.16,11.855577475326324,10.735334231820882,0.72,2.4207920792079207,37.80866375499571,sample_1100000-integrate_subtracted.dat,14.808320039373724,-359.0,1.3760639370720313,33.547919474440505,32.206002695462644
22.39,0.57,0.01246393567240877,7.89,13.465018078441837,7.451065807562692,0.9,2.837769328263625,48.199552901257086,sample_1110000-integrate_subtracted.dat,10.278000174951975,-434.43,0.6718529989788569,23.04614654279188,22.353197422688076
6.22,0.14,0.004089290231458849,2.77,18.912039765880245,3.2247151980847817,0.73,2.2454873646209386,60.62975425872654,sample_1120000-integrate_subtracted.dat,4.448172144238147,-346.43,0.2358723456491044,9.509685119152161,9.674145594254345
10.09,0.42,0.003455266914338478,4.1,14.751756507546197,5.0642551438689765,0.86,2.4609756097560975,47.84941732923188,sample_1130000-integrate_subtracted.dat,10.216489060224838,-406.79,0.34912513254921584,16.50947176901262,15.19276543160693
20.23,0.52,0.0022108440432563404,8.14,19.64625053118913,3.52459832366773,0.79,2.4852579852579852,62.934233074969185,sample_1140000-integrate_subtracted.dat,12.62050278306968,-375.98,0.6931411168172238,10.510352201177101,10.57379497100319
31.53,1.48,0.002015406220040881,13.07,18.936164918319367,6.429237725842456,0.88,2.4123947972456006,62.58829266180539,sample_1150000-integrate_subtracted.dat,29.155162581301806,-416.22,1.1129428005898174,17.776842311954603,19.28771317752737
32.71,0.81,0.0013642257391956797,14.12,13.394409010803328,4.617674860938061,0.81,2.31657223796034,43.21921866695346,sample_1160000-integrate_subtracted.dat,11.571477610773206,-393.86,1.2023528955109581,13.488228268800192,13.853024582814184
45.74,0.5,0.016372464111606057,18.02,13.106117450636456,13.068243601474563,0.86,2.5382907880133185,40.9854388358938,sample_1170000-integrate_subtracted.dat,18.02633522387401,-434.63,1.5344475337894805,32.7228819780923,39.20473080442369
40.19,0.16,0.2669607169995284,13.1,11.639792724659022,8.799450235745901,1.06,3.06793893129771,45.98491008479755,sample_1180000-integrate_subtracted.dat,12.137961655187894,-519.77,1.1154973747304215,22.68498270775289,26.398350707237704
5.63,0.0,0.002352365736451081,2.19,11.976977115338562,1.8422398438202405,1.14,2.5707762557077625,47.26903560822483,sample_1190000-integrate_subtracted.dat,3.631777811308404,-539.52,0.18648391226409336,4.9022002244056635,5.526719531460722
40.48,0.29,227.23966269443508,11.29,12.580396429950184,7.387001199071154,1.12,3.5854738706820193,49.86442964890142,sample_120000-integrate_subtracted.dat,15.369357759781344,-601.52,0.6960659496818606,25.80156402148853,22.161003597213462
32.52,0.69,0.0048241888308016056,12.82,13.688183431932002,6.197248185023907,0.81,2.5366614664586584,47.400677538696954,sample_1200000-integrate_subtracted.dat,8.548484146421977,-388.67,1.0916546827514506,16.416510442128327,18.59174455507172
